number,title,state,created_at,updated_at,labels
10535,Introduce rb_parser_dedent_string function,open,2024-04-15T15:18:22Z,2024-04-25T15:05:26Z,
10516,"Add `IO#readable?`, `BasicSocket#readable?` and `StringIO#readable?`.",open,2024-04-12T11:09:35Z,2024-04-16T01:15:23Z,
10491,Use ruby_thread_set_pthread_native at boot,open,2024-04-09T14:38:52Z,2024-04-09T14:38:52Z,
10468,Fix ec assertion with using pthread,open,2024-04-05T20:48:24Z,2024-04-09T14:39:40Z,
10439,"[Feature #20408] Implement heap_live_slots, heap_free_slots, heap_final_slots in GC.stat_heap",open,2024-04-03T15:39:50Z,2024-04-03T15:39:50Z,
10415,[Feature #20405] Add inline comment,open,2024-04-01T01:16:31Z,2024-04-01T01:54:01Z,
10382,ObjectSpace.dump_all: Add an option to not dump string content,open,2024-03-27T08:08:12Z,2024-03-27T08:08:12Z,
10375,Make keys of compare_by_id hashes movable,open,2024-03-26T19:42:15Z,2024-03-26T21:54:57Z,
10270,Faster Bignum Division,open,2024-03-16T07:56:25Z,2024-03-18T13:05:25Z,
10269,"[Feature #19787] Add `Enumerable#uniq_map`, `Enumerable::Lazy#uniq_map`, `Array#uniq_map` and `Array#uniq_map!`",open,2024-03-16T02:28:11Z,2024-03-16T02:28:11Z,
10254,[wip]  Adds an `opt_new` instruction optimizing `.new` on most classes,open,2024-03-14T14:02:41Z,2024-03-15T15:30:59Z,
10247,Namespace on read,open,2024-03-14T04:58:15Z,2024-03-19T11:33:36Z,Playground
10245,Freeze singleton class chain,open,2024-03-14T01:35:39Z,2024-04-18T11:48:39Z,
10170,[Feature #20318] Method dispatch per `in`,open,2024-03-03T07:00:50Z,2024-03-06T15:40:53Z,
10118,Don't assume that Qfalse is 0 in rb_special_const_p,open,2024-02-27T20:39:02Z,2024-02-29T07:19:59Z,
10093,Optimize `Set#add?` by only doing 1 hash look-up,open,2024-02-26T02:37:12Z,2024-02-29T02:53:29Z,
10092,Add `Hash#exchange_value`,open,2024-02-26T02:36:16Z,2024-02-29T04:25:07Z,
10020,[Feature #19979] Method definition with `&nil`,open,2024-02-20T11:10:37Z,2024-03-18T06:25:56Z,
10011,[Bug #20277] Remove stale `String` test conditionals,open,2024-02-18T11:22:59Z,2024-02-18T11:22:59Z,
10005,Switch mk_builtin_loader.rb to use prism to parse,open,2024-02-17T02:09:45Z,2024-06-08T11:03:29Z,
9996,Fix ractor move of unshareable frozen objects,open,2024-02-16T19:11:58Z,2024-02-16T19:15:28Z,
9993,Change the way embedded strings move across ractors,open,2024-02-16T16:31:50Z,2024-02-16T16:31:50Z,
9983,Fix moving hashes that use ar_table across ractors,open,2024-02-15T16:00:02Z,2024-02-15T16:00:02Z,
9979,[Feature #20266] Escape embed strings in literal,open,2024-02-15T09:32:59Z,2024-02-15T11:11:25Z,
9942,Move rbinc files into separate directory,open,2024-02-13T10:14:43Z,2024-02-13T17:10:38Z,
9918,Fix moving embedded arrays across ractors,open,2024-02-10T17:36:43Z,2024-06-21T03:48:29Z,
9915,Check syntax warnings in built-in scripts,open,2024-02-10T06:12:01Z,2024-02-13T16:55:12Z,
9910,Fix moving struct objects that have embedded values,open,2024-02-09T21:47:12Z,2024-02-16T16:50:34Z,
9908,Get #object_id working across ractors for moved objects,open,2024-02-09T20:09:35Z,2024-02-09T20:09:35Z,
9900,"Introduce and default to ""minimal"" crash report mode",open,2024-02-09T06:58:09Z,2024-02-09T11:21:59Z,
9899,rb_profile_thread_frames: Immediately return if passed thread is dead,open,2024-02-09T04:46:28Z,2024-02-09T04:46:28Z,
9815,[Feature #20233] Support pkgconf on windows,open,2024-02-02T08:50:18Z,2024-05-07T17:50:19Z,
9701,[Feature #20210] Raise `SyntaxError` at invalid source encoding,open,2024-01-25T06:53:39Z,2024-01-25T13:26:31Z,
9682,Add an internal event hook for JIT side_exits,open,2024-01-24T17:00:56Z,2024-01-24T18:13:34Z,
9576,Rewrite Numeric#times in Ruby using Primitive,open,2024-01-17T08:47:32Z,2024-01-19T07:52:41Z,
9545,[DOC] Improve extension.rdoc,open,2024-01-16T02:09:57Z,2024-01-24T01:34:55Z,Documentation
9539,Set up configure args for brews,open,2024-01-15T03:01:02Z,2024-01-15T14:25:53Z,
9531,Better handling of timeout in `rb_io_maybe_wait_*`.,open,2024-01-14T02:06:21Z,2024-01-17T02:08:55Z,
9530,Restore warnings on IO functions that use fd argument.,open,2024-01-14T01:52:47Z,2024-03-06T06:48:17Z,
9527,Improve documentation for `IO#timeout` and related functions.,open,2024-01-13T23:02:48Z,2024-01-14T02:07:24Z,Documentation
9518,Fix linting line end,open,2024-01-12T23:54:01Z,2024-01-16T20:55:06Z,
9433,[DOC] Fix some regexp property names ...,open,2024-01-06T21:51:02Z,2024-01-24T01:34:55Z,Documentation
9412,Improve method_missing method documentation,open,2024-01-04T16:28:11Z,2024-06-20T11:46:29Z,Documentation
9392,Move `negate_lit` to stub,open,2023-12-29T13:49:47Z,2024-01-07T04:01:37Z,
9362,Introduce `get_node_nd_value` and `get_node_nd_vid` macro,open,2023-12-26T12:48:58Z,2024-03-27T15:52:38Z,
9359,Use `PRIuSIZE` instead of `%zu` for `size_t`,open,2023-12-26T02:37:28Z,2023-12-26T04:40:25Z,
9353,[Bug #19922] Ensure Objspace.dump_all is a consistnt heap snapshot,open,2023-12-25T10:34:40Z,2024-01-08T00:24:47Z,
9322,Make bundled gems loadable,open,2023-12-22T17:18:07Z,2023-12-27T11:12:52Z,
9321,Rename thread_profile_frames() to profile_thread_frames(),open,2023-12-22T13:44:04Z,2023-12-22T13:44:47Z,
9304,[DOC] fix typo,open,2023-12-20T07:41:43Z,2023-12-23T22:59:23Z,Documentation
9289,[WIP] Implement Class#new in Ruby,open,2023-12-19T01:08:08Z,2024-07-29T23:35:34Z,
9276,Reduce usage of `object_id` in core gems,open,2023-12-18T09:16:37Z,2024-01-05T15:19:43Z,
9248,[DOC] Fix doc for `refinements`,open,2023-12-15T02:35:21Z,2024-01-24T01:34:54Z,Documentation
9233,[DOC] [ci-skip] Shorter example for `Module#instance_method`,open,2023-12-14T14:19:48Z,2023-12-18T05:21:27Z,Documentation
9200,Adjust indent [ci skip],open,2023-12-12T15:10:39Z,2023-12-28T05:47:09Z,
9193,Array#drop_whille! and Hash.drop_while!,open,2023-12-11T22:42:31Z,2023-12-11T22:43:50Z,
9159,Make Object#inspect not return a binary string like other inspect,open,2023-12-07T16:05:54Z,2023-12-07T16:05:54Z,
9090,"Revert ""[Bug #20004] Revert ""[Feature #19422] Enable shared by default on macOS""""",open,2023-12-01T04:19:26Z,2023-12-26T11:08:52Z,Playground
9025,Add support for passing a block to `IO#readlines` and `IO.readlines`.,open,2023-11-24T00:46:13Z,2023-12-01T03:12:29Z,
8989,Remove gen_ivtbl_count,open,2023-11-21T22:47:05Z,2024-03-27T15:40:58Z,
8983,Replace guard object with ensure for Dir.pwd,open,2023-11-21T16:25:49Z,2023-11-24T08:04:06Z,
8966,Optimize unicode_normalize methods,open,2023-11-20T22:11:32Z,2024-05-31T14:20:15Z,Performance
8950,Add RUBY_ASSERT_GC_FREE_REGION,open,2023-11-20T10:38:05Z,2024-03-08T13:27:36Z,
8932,Pin object ivars while inside `rb_evict_ivars_to_hash`,open,2023-11-16T13:49:12Z,2023-11-18T09:01:57Z,
8887,Gcc13 warning prism compile,open,2023-11-09T15:08:31Z,2023-11-11T03:58:12Z,
8883,Show the first non-internal frame at exception when debug,open,2023-11-09T12:54:11Z,2023-11-09T12:54:11Z,
8867,Remove no longer used RUBY_ABI_VERSION,open,2023-11-08T04:13:16Z,2024-02-04T13:27:37Z,
8851,Suppress warnings from gcc 13,open,2023-11-06T11:04:20Z,2023-12-15T08:44:49Z,
8809,Use `OPTIMIZED_CMP` instead of `<=>` in `r_less`,open,2023-11-01T04:29:31Z,2023-12-23T01:38:19Z,
8808,Remove unneeded function declaration in parse.y,open,2023-11-01T03:36:00Z,2024-01-26T04:30:17Z,
8761,Install default and bundled gems into dedicated directories,open,2023-10-25T15:02:58Z,2023-11-23T09:05:07Z,
8745,Optimize `r_cover_range_p` (`Range#cover?`),open,2023-10-24T02:14:06Z,2023-10-24T07:28:27Z,
8741,array.c: Use rb_malloc_grow_capa to grow arrays,open,2023-10-23T15:10:13Z,2023-11-14T12:49:23Z,
8720,Optimization of `Range#overlap?` for beginless ranges,open,2023-10-20T05:46:30Z,2023-10-20T06:15:33Z,
8703,Test compile prism,open,2023-10-19T03:03:44Z,2023-10-19T03:03:44Z,
8674,Reduce `<=>` calls in `Array#max` and `Array#min` for a type-mixed array,open,2023-10-16T13:17:27Z,2023-10-16T13:17:27Z,
8642,[Bug #19910] Make Set#delete_if consistent with Array/Hash #delete_if,open,2023-10-12T17:55:41Z,2023-10-15T05:27:47Z,
8624,[Feature #16294] Undefine `Regexp.allocate`,open,2023-10-11T07:52:33Z,2023-10-16T14:16:50Z,
8608,"Optimize `Range#initialize` for `Bignum`, `Float`, `String`, and `Symbol`",open,2023-10-08T23:18:24Z,2023-10-23T13:16:35Z,
8605,Thread events hooks: Pass concerned Thread to callbacks,open,2023-10-08T09:52:27Z,2023-11-25T11:55:58Z,
8595,Optimize `Range` with `Integer` (especially `Range#size`),open,2023-10-05T14:07:45Z,2023-10-15T05:29:12Z,
8549,[Feature #19904] Warn multiple regexp encoding options,open,2023-09-29T12:53:08Z,2023-10-15T05:29:31Z,
8523,[DOC] Clarify doc of `Class.inherited`,open,2023-09-27T21:18:03Z,2024-07-28T18:28:36Z,Documentation
8508,[Doc] Fix link to #close in scheduler.c,open,2023-09-24T05:22:02Z,2023-10-15T05:29:55Z,Documentation
8457,Warn the implicit usage of default gem only when bundler is used,open,2023-09-16T04:09:50Z,2023-09-16T04:09:50Z,
8434,Fix GC.stress= segfaulting on non-bool/integers,open,2023-09-13T20:01:31Z,2023-10-15T05:30:25Z,
8412,[YARP] Implement compiler snapshots,open,2023-09-11T13:53:13Z,2023-09-22T18:42:31Z,
8365,Introduce a stack barrier to reduce stack scanning during GC.,open,2023-09-04T02:18:26Z,2023-09-04T03:11:31Z,
8331,"Implement ""mutex reservation""",open,2023-08-30T18:13:09Z,2023-08-30T19:53:34Z,
8283,Disallow forking inside a ractor,open,2023-08-24T23:32:46Z,2023-08-25T16:27:17Z,
8277,Restart interrupted `open` syscall,open,2023-08-24T09:50:07Z,2023-08-25T11:06:10Z,
8167,[Feature #19830] Allow `Array#transpose` to take an optional element size argument,open,2023-08-03T17:40:33Z,2023-08-03T18:03:12Z,
8163,`RUBY_DEBUG_LOG_TIME` to print times,open,2023-08-03T06:35:31Z,2023-08-03T11:29:44Z,
8110,Introduce recursive_eq macro for refactor,open,2023-07-23T08:53:51Z,2023-07-23T08:56:11Z,
8079,Refactor the ADD_SEND_WITH_FLAG macro to call INT2FIX on the flag,open,2023-07-14T18:20:01Z,2023-07-14T18:20:01Z,
8056,[Feature #19600] Extend `Comparable#between?` to accept `Range`,open,2023-07-12T04:59:53Z,2023-07-12T05:14:24Z,
8054,[Bug #19392] Make args connected with `and`/`or` as a body of method,open,2023-07-10T23:01:20Z,2023-12-07T08:04:14Z,
8015,Fix IO::Buffer#get_string with negative offset,open,2023-07-03T07:34:37Z,2023-07-05T23:18:24Z,
8013,Iterate docs and specs for set_temporary_name,open,2023-07-02T16:59:27Z,2023-07-03T01:08:40Z,Documentation
7968,Add anonymous module name spec.,open,2023-06-21T22:50:16Z,2023-06-21T22:50:32Z,
